transaction_id,predicted_risk_level,risk_score,confidence,prob_high,prob_low,prob_medium,is_fraud_flagged
5713,Medium,99.97,99.97,0.0,0.03,99.97,1
7506,Medium,99.97,99.97,0.0,0.03,99.97,1
1762,Medium,99.97,99.97,0.0,0.03,99.97,1
730,Medium,99.97,99.97,0.0,0.03,99.97,1
3090,Medium,99.96,99.96,0.0,0.04,99.96,1
3214,Medium,99.96,99.96,0.0,0.04,99.96,1
3117,Medium,99.96,99.96,0.0,0.04,99.96,1
3006,Medium,99.96,99.96,0.0,0.04,99.96,1
3207,Medium,99.96,99.96,0.0,0.04,99.96,1
2899,Medium,99.96,99.96,0.0,0.04,99.96,1
3307,Medium,99.96,99.96,0.0,0.04,99.96,1
3292,Medium,99.96,99.96,0.0,0.04,99.96,1
5702,Medium,99.96,99.96,0.0,0.04,99.96,1
5718,Medium,99.96,99.96,0.0,0.04,99.96,1
7231,Medium,99.96,99.96,0.0,0.04,99.96,1
11452,Medium,99.96,99.96,0.0,0.04,99.96,1
3410,Medium,99.96,99.96,0.0,0.04,99.96,1
10524,Medium,99.96,99.96,0.0,0.04,99.96,1
10360,Medium,99.96,99.96,0.0,0.04,99.96,1
5256,Medium,99.96,99.96,0.0,0.04,99.96,1
5838,Medium,99.96,99.96,0.0,0.04,99.96,1
2654,Medium,99.96,99.96,0.0,0.04,99.96,1
2600,Medium,99.96,99.96,0.0,0.04,99.96,1
2613,Medium,99.96,99.96,0.0,0.04,99.96,1
10238,Medium,99.96,99.96,0.0,0.04,99.96,1
2563,Medium,99.96,99.96,0.0,0.04,99.96,1
2542,Medium,99.96,99.96,0.0,0.04,99.96,1
3595,Medium,99.96,99.96,0.0,0.04,99.96,1
2520,Medium,99.96,99.96,0.0,0.04,99.96,1
2526,Medium,99.96,99.96,0.0,0.04,99.96,1
9817,Medium,99.96,99.96,0.0,0.04,99.96,1
9823,Medium,99.96,99.96,0.0,0.04,99.96,1
5874,Medium,99.96,99.96,0.0,0.04,99.96,1
2252,Medium,99.96,99.96,0.0,0.04,99.96,1
307,Medium,99.96,99.96,0.0,0.04,99.96,1
9803,Medium,99.96,99.96,0.0,0.04,99.96,1
2104,Medium,99.96,99.96,0.0,0.04,99.96,1
2102,Medium,99.96,99.96,0.0,0.04,99.96,1
9707,Medium,99.96,99.96,0.0,0.04,99.96,1
9730,Medium,99.96,99.96,0.0,0.04,99.96,1
3736,Medium,99.96,99.96,0.0,0.04,99.96,1
6732,Medium,99.96,99.96,0.0,0.04,99.96,1
6750,Medium,99.96,99.96,0.0,0.04,99.96,1
5961,Medium,99.96,99.96,0.0,0.04,99.96,1
3396,High,99.96,99.96,99.96,0.01,0.03,1
3347,Medium,99.96,99.96,0.0,0.04,99.96,1
10452,Medium,99.96,99.96,0.0,0.03,99.96,1
1803,Medium,99.96,99.96,0.0,0.04,99.96,1
12738,High,99.96,99.96,99.96,0.02,0.02,1
